TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_PURPOSE
61343940-11e3-4ef9-900d-78dee080a879FF89BC2173E815580D78DE6504CACEA87EC2A70C3D9C723DDC77DB4787C3B751,Debit,TV Licence
61343940-11e3-4ef9-900d-78dee080a879CD0FFFEC5E62CD795487B5486AD9C70338E3AE6D1ED13906845682B29FB76709,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a8795DA81DF590431C020C4F24095191DF60AD2403E5D2CD1DB3CA93A3449122AD4D,Debit,Transfers
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9C06C6D4F70E3862A2EE5AC7818C8280B6A5ECFE8A3CFD032F16A269C7A515683,Debit,Contents or Other Insurance
61343940-11e3-4ef9-900d-78dee080a8798CBD5D9690E18059D5A8196D0CB8603FBF88C94EC74D75D5A8C42D1C32AA8945,Debit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f90DA63CE0CBAE66E2D14A546ED64CFF0C6D13F56A60F0B52AB35845ED1CF2220C,Debit,Enjoyment
9219ccc1-8148-486d-bff1-891693d2fafd61E3BB3FA35D2B2A672E6C65C368A10D60D59A0DCADA59DDFFC7ED791FDFE89C,Debit,Hobbies or Activities
9219ccc1-8148-486d-bff1-891693d2fafd3DABB82C42840C3996AFABD22C1075BC7FCFBABBBEC07D3EF9C6AB8E9413F923,Debit,Bills
61343940-11e3-4ef9-900d-78dee080a879DBAD4D10B61B0DF4A768F3640F0FED210B030BB142F7586BBD12FF2046B6156A,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a879DF7CFDD10BC56B3ED42A2A39948A5F9359B1982C4B6F92CEC1477AEE2E9721F9,Debit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f93D938DC7DCD0CC9F38F5E46C0B957214125497BCB449647BCAF5227BA035388C,Debit,Books / Magazines / Newspapers
61343940-11e3-4ef9-900d-78dee080a879A97E5BDD862F34790FA1F1B20B7F0F7159930BC853C1F63F1B0C78F0E3791FB5,Debit,Gambling
9219ccc1-8148-486d-bff1-891693d2fafd15C4659BF1A1FDB492DC2277EB5B1633B5511B39E47B176B03EB6E4A5031512E,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd1C18C76C0279CED7720B1371CCCF703E4443455A08E17AA58B15248CF83ACC2A,Debit,Personal Loan
9219ccc1-8148-486d-bff1-891693d2fafdFE9CE3D592FDBB8E2F62FAEA6E21B5F1A00EAE4EC0EF5759642D252630E4374F,Debit,No Tag
61343940-11e3-4ef9-900d-78dee080a879F6F9422B49E556EF7C3EBC6B61FB0A80D6E85A76BDF198E418300F557A187084,Credit,"Energy (Gas, Elec, Other)"
61343940-11e3-4ef9-900d-78dee080a8793FBC6E781FE8AE2C063A5B1EDF6858C13916821473B4CE6E20F480BACB005AFC,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a879F32D86AAE37443962D4284570242587D15A4DAE50DA938FD5142024F72BD2243,Debit,"Entertainment, TV, Media"
9219ccc1-8148-486d-bff1-891693d2fafd1CCCDE52290CEF3FDB31F6BFEB95E481C46DC55E935DD6F7BD40DC8E43E21A9F,Credit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f991070321AE4488B7074C888F4B51B09C95C4001AEE6DFB164202413F9F06F033,Credit,No Tag
61343940-11e3-4ef9-900d-78dee080a8797D4AE921D457257409E255949C3E71CC275336B9AC0276A6445CB427115BD56E,Debit,"Entertainment, TV, Media"
9219ccc1-8148-486d-bff1-891693d2fafd891510D9B6465D958DB5EF1048CA6862D09B328B080D66DCCE34493E10B35C18,Debit,"Food, Groceries, Household"
8c8abb40-da8a-455d-9f72-a25449ad4c5835BBB1C374BD6C32CE3719B6BDDA34B8154B72AD348F770DFEC26BB51EBC3374,Credit,No Tag
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c0BD8250D424A42805E8C7B2A2C9B899026DEAB1734FBE07969259828CA774FD42,Credit,Benefits
61343940-11e3-4ef9-900d-78dee080a87924D0F5862AEBF98AEC2BCCA5ABFCFC3EC5A54970078CC5EDF8B271660B5C3364,Debit,Transfers
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9BADCCFF37C9B8E3F676E1FBBA86EAC40ED46E81C8AB60484A04AA772020526BC,Debit,Fuel
61343940-11e3-4ef9-900d-78dee080a87948B60531DC3733238C79599BBFACAFC3F552837DB0D60AAA411434E1AFB8DF8F,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a8795E01E3996D3A52754106F19A2674065189B13014D233896B8B2E5F4EE9EB3D67,Debit,Lunch or Snacks
61343940-11e3-4ef9-900d-78dee080a87948AC5F4186E5ABD6D76B755D2995F70042D2BD5A4D95D800A50443E7FE48D401,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a8794D2BF66B0A9EDB0E1B829B6EE70C9DA39C3FE91794623FC6DB19BFFA2ABA0D4B,Debit,Enjoyment
9219ccc1-8148-486d-bff1-891693d2fafdC04B12BA5400F046855B976F1A0DF3F8BEC33A216330AA77F3963E6E7DA83303,Debit,Personal Loan
9219ccc1-8148-486d-bff1-891693d2fafd1E1D387C04D198CD735781E012AABA6CFD7686C0C24F0FD4477005019F84B3B5,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879D423312CA113700EBC780AEB74BD93475A4ADD77795FF43786E1D3ECE629F8B4,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8795EAC20B15931A4917ED6487238F2DFE4C453E996087410DEF13768FD6DA0FED9,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a87927E625390A509D79A0ADA07BC02F1169082813CFEBD4E7B5D62A3B7B4CFDB195,Debit,Transfers
61343940-11e3-4ef9-900d-78dee080a8793980A068A57694C466DD9A3FF6D984C19B47ED937638F257A8A375B055BF6CEF,Debit,Transfers
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9867FD141EF62D7193A46ABC61F2429A0BDB5AD63172AC3680855FAC296EB155C,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd9F6A480509193F373A74F476133B655201323EB163731A57AC5EB340A7E9E6EF,Debit,"Food, Groceries, Household"
